city,lng,lat
广西壮族自治区-桂林市,110.2609201,25.26290125
广西壮族自治区-梧州市,111.305472,23.48539464
广西壮族自治区-河池市,108.0699477,24.69952078
广西壮族自治区-玉林市,110.1516763,22.64397361
广西壮族自治区-百色市,106.6318214,23.90151237
广西壮族自治区-贵港市,109.6137076,23.10337316
广西壮族自治区-贺州市,111.5525942,24.41105355
广西壮族自治区-钦州市,108.6387981,21.97335047
广西壮族自治区-防城港市,108.3517912,21.61739847
新疆维吾尔自治区-乌鲁木齐市,87.56498774,43.84038035
新疆维吾尔自治区-伊犁哈萨克自治州,81.29785353,43.9222481
新疆维吾尔自治区-克孜勒苏柯尔克孜自治州,76.13756448,39.75034558
新疆维吾尔自治区-克拉玛依市,84.88118019,45.59433107
新疆维吾尔自治区-博尔塔拉蒙古自治州,82.05243627,44.91365137
新疆维吾尔自治区-吐鲁番地区,89.18159487,42.96047002
新疆维吾尔自治区-和田地区,79.93023864,37.11677449
新疆维吾尔自治区-哈密地区,93.52835509,42.85859633
新疆维吾尔自治区-喀什地区,75.99297327,39.47062719
新疆维吾尔自治区-塔城地区,82.97488058,46.75868363
新疆维吾尔自治区-昌吉回族自治州,87.29603813,44.0070579
新疆维吾尔自治区-自治区直辖,85.61489934,42.12700096
新疆维吾尔自治区-阿克苏地区,80.26984618,41.1717309
新疆维吾尔自治区-阿勒泰地区,88.13791549,47.83974449
江苏省-南京市,118.7780744,32.0572355
江苏省-南通市,120.873801,32.01466454
江苏省-宿迁市,118.2968934,33.95204973
江苏省-常州市,119.981861,31.77139674
江苏省-徐州市,117.1881066,34.27155343
江苏省-扬州市,119.4277776,32.40850525
江苏省-无锡市,120.3054559,31.57003745
江苏省-泰州市,119.919606,32.47605327
江苏省-淮安市,119.0301864,33.60651274
江苏省-盐城市,120.1488718,33.37986188
江苏省-苏州市,120.6199071,31.31798737
江苏省-连云港市,119.1738722,34.60154897
江苏省-镇江市,119.4558354,32.20440944
江西省-上饶市,117.9554639,28.45762255
江西省-九江市,115.999848,29.71963953
江西省-南昌市,115.8935275,28.689578
江西省-吉安市,114.9920387,27.11384765
江西省-宜春市,114.4000387,27.8111299
江西省-抚州市,116.3609189,27.95454517
江西省-新余市,114.9471174,27.82232156
江西省-景德镇市,117.1865226,29.30356277
江西省-萍乡市,113.859917,27.63954422
江西省-赣州市,114.9359091,25.84529554
江西省-鹰潭市,117.0354502,28.2413096
